tenure,monthly_charges,total_charges,contract,internet_service,tech_support,payment_method,churn
46,43.12,1837.1,Month-to-month,DSL,Yes,Bank transfer,0
51,88.45,4220.76,Month-to-month,No,No,Bank transfer,0
55,78.87,4722.04,Month-to-month,Fiber optic,No,Credit card,1
14,69.16,1068.78,Two year,Fiber optic,Yes,Mailed check,0
28,117.57,3721.67,Month-to-month,DSL,No,Electronic check,1
7,87.71,678.71,Month-to-month,DSL,No,Mailed check,1
4,56.29,265.28,Month-to-month,Fiber optic,No,Electronic check,1
28,99.61,2924.5,Two year,Fiber optic,No,Mailed check,0
46,108.23,5125.3,One year,DSL,Yes,Bank transfer,0
67,30.77,2130.45,Two year,No,Yes,Bank transfer,0
44,38.46,1677.93,Two year,No,No,Credit card,0
1,40.06,72.2,Month-to-month,Fiber optic,No,Electronic check,1
26,88.5,2167.29,One year,No,No,Electronic check,0
35,79.51,2956.15,Month-to-month,DSL,Yes,Credit card,0
35,81.14,2934.63,One year,DSL,No,Mailed check,0
25,113.96,3153.19,Month-to-month,DSL,Yes,Credit card,0
42,97.14,4010.28,Month-to-month,Fiber optic,Yes,Mailed check,0
26,31.05,891.25,Two year,DSL,No,Credit card,0
68,53.45,3633.09,Month-to-month,No,Yes,Electronic check,0
19,62.41,1147.52,Two year,DSL,Yes,Electronic check,0
10,58.39,703.68,Month-to-month,DSL,Yes,Mailed check,1
37,86.27,3286.09,Month-to-month,No,Yes,Electronic check,0
5,108.97,670.75,Two year,DSL,No,Electronic check,0
71,49.22,3664.9,One year,DSL,No,Electronic check,0
22,74.29,1661.65,One year,Fiber optic,Yes,Electronic check,0
46,98.52,4859.67,Month-to-month,DSL,No,Bank transfer,1
45,60.45,2986.62,Month-to-month,DSL,No,Credit card,0
11,35.15,412.28,One year,DSL,No,Credit card,1
12,66.44,890.84,One year,Fiber optic,Yes,Bank transfer,0
61,23.63,1540.4,Month-to-month,No,No,Electronic check,1
59,114.12,6422.85,Two year,No,No,Credit card,0
42,25.63,1065.19,One year,DSL,Yes,Credit card,0
67,62.72,3931.27,Two year,Fiber optic,No,Credit card,0
4,72.05,367.61,One year,Fiber optic,No,Mailed check,1
36,118.5,4648.39,One year,No,No,Bank transfer,0
71,34.93,2570.71,Month-to-month,DSL,Yes,Mailed check,0
30,29.67,860.86,Month-to-month,Fiber optic,Yes,Mailed check,0
8,18.89,171.59,Two year,Fiber optic,Yes,Bank transfer,1
50,33.87,1843.08,Month-to-month,No,No,Credit card,0
28,39.14,1090.28,Month-to-month,DSL,Yes,Mailed check,0
39,82.32,3511.87,Month-to-month,DSL,No,Credit card,1
40,40.41,1751.12,Month-to-month,DSL,No,Mailed check,0
10,20.09,199.85,Two year,DSL,Yes,Credit card,0
22,102.32,2230.73,Two year,Fiber optic,Yes,Electronic check,0
0,55.29,55.76,Month-to-month,Fiber optic,No,Electronic check,1
45,54.08,2595.95,Month-to-month,Fiber optic,No,Electronic check,1
20,48.85,1103.92,One year,DSL,Yes,Bank transfer,0
35,117.49,4348.95,One year,DSL,No,Electronic check,0
53,35.35,1863.22,Two year,DSL,No,Mailed check,0
56,109.62,5854.23,One year,DSL,No,Credit card,0
0,97.23,102.29,Month-to-month,Fiber optic,No,Credit card,1
62,25.8,1530.08,Month-to-month,DSL,Yes,Credit card,0
53,118.65,6657.53,Two year,DSL,No,Credit card,0
54,45.68,2352.22,One year,Fiber optic,No,Mailed check,0
39,28.06,1030.6,One year,Fiber optic,Yes,Credit card,0
14,102.59,1462.25,Month-to-month,Fiber optic,No,Mailed check,1
20,90.08,1810.31,One year,No,Yes,Mailed check,0
46,80.96,3917.15,One year,DSL,No,Credit card,0
52,33.91,1675.34,Month-to-month,Fiber optic,No,Credit card,1
8,66.81,653.04,Month-to-month,DSL,No,Credit card,1
51,97.62,5131.43,Month-to-month,DSL,Yes,Mailed check,0
56,48.97,2786.23,Month-to-month,No,No,Bank transfer,0
25,49.79,1277.63,Month-to-month,DSL,Yes,Mailed check,0
40,18.32,761.13,Month-to-month,Fiber optic,No,Bank transfer,1
34,35.77,1132.38,One year,DSL,No,Credit card,0
62,107.29,7421.8,Month-to-month,Fiber optic,No,Mailed check,1
24,63.06,1594.64,Month-to-month,Fiber optic,Yes,Credit card,1
37,118.39,4080.61,Two year,No,No,Bank transfer,0
1,58.36,118.82,One year,No,Yes,Bank transfer,0
6,90.95,628.64,One year,Fiber optic,No,Mailed check,1
33,46.76,1438.5,Month-to-month,DSL,No,Mailed check,0
16,55.11,1016.4,One year,Fiber optic,No,Mailed check,0
42,37.45,1452.72,Month-to-month,Fiber optic,No,Mailed check,1
58,53.4,3199.67,Two year,DSL,No,Electronic check,0
50,73.82,4112.53,Month-to-month,Fiber optic,Yes,Electronic check,1
53,119.16,6096.96,One year,No,No,Credit card,0
23,85.75,1956.82,Month-to-month,Fiber optic,Yes,Bank transfer,0
24,38.32,862.28,One year,DSL,No,Bank transfer,0
70,22.59,1464.78,Month-to-month,No,No,Credit card,1
51,30.89,1460.07,Month-to-month,DSL,No,Credit card,0
69,75.38,5617.11,Month-to-month,DSL,Yes,Credit card,0
32,96.05,3383.12,One year,Fiber optic,No,Electronic check,0
48,113.92,5835.17,Two year,Fiber optic,Yes,Credit card,0
28,19.61,551.94,Two year,Fiber optic,Yes,Bank transfer,0
62,71.32,4781.85,Month-to-month,DSL,Yes,Credit card,0
21,66.03,1464.22,Month-to-month,DSL,No,Mailed check,0
25,84.92,2121.51,Two year,DSL,Yes,Bank transfer,0
27,75.08,2075.87,Month-to-month,No,Yes,Bank transfer,0
48,88.08,3941.1,One year,Fiber optic,Yes,Bank transfer,0
70,85.12,6581.28,Two year,DSL,Yes,Electronic check,0
48,29.94,1502.01,Two year,DSL,No,Electronic check,0
19,99.57,2083.5,Month-to-month,DSL,No,Bank transfer,0
62,30.57,1993.93,Month-to-month,Fiber optic,Yes,Mailed check,0
60,89.25,5626.9,Month-to-month,DSL,No,Bank transfer,0
48,60.45,2676.07,One year,Fiber optic,No,Electronic check,0
70,70.41,5024.48,Month-to-month,Fiber optic,No,Mailed check,0
0,110.14,117.23,Month-to-month,Fiber optic,No,Bank transfer,1
12,108.77,1285.2,Month-to-month,Fiber optic,Yes,Electronic check,1
50,101.42,5644.32,Month-to-month,Fiber optic,No,Mailed check,1
55,70.04,3862.75,One year,DSL,Yes,Credit card,0
61,93.1,5529.65,One year,Fiber optic,Yes,Credit card,0
31,70.32,2264.56,Month-to-month,Fiber optic,No,Bank transfer,1
29,106.7,3393.84,Month-to-month,DSL,No,Credit card,0
28,59.08,1704.67,Two year,No,Yes,Electronic check,0
48,116.96,5897.36,Month-to-month,DSL,No,Mailed check,0
44,113.1,5089.41,One year,DSL,No,Bank transfer,0
29,93.64,2882.95,Two year,DSL,No,Mailed check,0
15,46.5,690.14,Month-to-month,No,No,Mailed check,0
39,31.43,1141.2,One year,Fiber optic,No,Mailed check,0
18,105.18,1853.3,Two year,Fiber optic,No,Electronic check,0
17,34.86,600.6,Month-to-month,DSL,Yes,Bank transfer,0
0,105.13,99.94,Month-to-month,Fiber optic,Yes,Credit card,1
46,68.06,3272.51,Month-to-month,Fiber optic,Yes,Mailed check,0
65,59.47,3890.39,Month-to-month,No,No,Mailed check,0
37,110.13,3798.93,Two year,DSL,No,Mailed check,0
50,79.59,3681.49,Two year,DSL,No,Electronic check,0
62,76.81,4442.8,One year,DSL,No,Credit card,0
3,74.99,291.15,Month-to-month,No,Yes,Mailed check,1
0,55.86,50.34,Month-to-month,Fiber optic,Yes,Electronic check,1
7,98.14,784.18,One year,Fiber optic,Yes,Electronic check,1
28,43.79,1234.52,Month-to-month,Fiber optic,No,Mailed check,1
54,113.77,6326.73,One year,No,No,Mailed check,0
2,109.19,342.04,Month-to-month,No,No,Electronic check,1
31,52.42,1593.89,One year,Fiber optic,No,Electronic check,1
9,92.41,860.72,One year,DSL,No,Mailed check,0
33,76.47,2484.57,Month-to-month,DSL,No,Electronic check,0
54,52.44,2596.8,Month-to-month,No,No,Electronic check,0
31,118.83,3513.58,Month-to-month,Fiber optic,No,Mailed check,1
49,20.57,1080.1,Month-to-month,DSL,No,Mailed check,0
6,43.77,289.4,One year,Fiber optic,No,Bank transfer,1
7,71.05,624.59,One year,No,No,Credit card,0
64,71.24,4322.97,One year,Fiber optic,No,Mailed check,0
56,78.07,4707.0,Two year,Fiber optic,Yes,Mailed check,0
66,94.67,6603.0,Month-to-month,No,Yes,Mailed check,0
58,81.59,4642.57,Month-to-month,Fiber optic,No,Credit card,0
71,79.23,5511.45,Month-to-month,DSL,No,Bank transfer,0
53,23.46,1282.94,One year,No,Yes,Electronic check,0
66,56.41,4045.83,Month-to-month,No,Yes,Credit card,0
50,41.67,2076.8,Two year,No,Yes,Mailed check,0
7,45.07,328.92,Month-to-month,Fiber optic,No,Mailed check,1
33,74.54,2470.71,Two year,DSL,Yes,Bank transfer,0
34,38.35,1263.68,Two year,No,Yes,Bank transfer,0
31,47.98,1670.23,Month-to-month,DSL,Yes,Bank transfer,0
45,42.18,2016.83,Month-to-month,No,Yes,Electronic check,1
15,114.75,1671.07,One year,No,No,Credit card,0
67,114.36,7454.52,Month-to-month,Fiber optic,Yes,Credit card,1
36,80.21,2700.8,Month-to-month,No,No,Bank transfer,0
53,112.3,6464.46,One year,Fiber optic,No,Electronic check,0
13,98.15,1485.76,Month-to-month,DSL,No,Credit card,0
54,78.17,3965.96,One year,Fiber optic,Yes,Mailed check,0
47,18.66,884.98,One year,DSL,Yes,Mailed check,0
6,96.8,736.13,Month-to-month,Fiber optic,Yes,Mailed check,1
6,89.65,583.02,Month-to-month,DSL,Yes,Credit card,0
32,80.76,2554.16,Month-to-month,Fiber optic,No,Bank transfer,1
22,95.56,2111.84,One year,No,Yes,Mailed check,0
18,70.32,1210.5,Month-to-month,No,Yes,Bank transfer,0
18,89.82,1548.3,Two year,DSL,No,Electronic check,0
35,113.39,4451.7,Month-to-month,Fiber optic,No,Mailed check,1
28,56.33,1656.8,Month-to-month,Fiber optic,Yes,Electronic check,0
59,90.23,5204.45,Month-to-month,No,Yes,Bank transfer,0
1,66.52,129.81,Month-to-month,Fiber optic,Yes,Credit card,1
0,86.79,90.52,Month-to-month,Fiber optic,No,Bank transfer,1
46,95.82,4383.31,One year,No,No,Mailed check,0
68,22.64,1477.1,Month-to-month,Fiber optic,No,Mailed check,0
19,83.95,1545.3,Month-to-month,No,No,Bank transfer,0
10,41.13,473.15,Month-to-month,No,No,Mailed check,1
1,86.34,161.65,One year,No,Yes,Mailed check,1
66,65.77,4027.31,One year,DSL,No,Electronic check,1
11,96.9,1145.81,Month-to-month,Fiber optic,No,Credit card,1
19,30.59,555.46,Two year,No,No,Bank transfer,0
4,81.88,447.47,Month-to-month,Fiber optic,No,Electronic check,1
36,46.4,1760.51,One year,Fiber optic,No,Mailed check,0
37,105.0,3712.85,Month-to-month,DSL,No,Electronic check,1
8,112.7,947.85,Month-to-month,DSL,Yes,Credit card,1
52,119.63,6428.94,Two year,Fiber optic,No,Bank transfer,0
43,99.19,4239.16,Month-to-month,Fiber optic,Yes,Credit card,0
23,94.88,2402.03,One year,Fiber optic,No,Credit card,0
29,39.98,1210.39,Month-to-month,Fiber optic,Yes,Electronic check,1
58,52.27,3042.81,One year,Fiber optic,No,Electronic check,0
13,65.5,1001.91,Two year,Fiber optic,No,Credit card,0
8,96.88,852.86,Month-to-month,Fiber optic,Yes,Mailed check,1
39,111.33,4364.68,Two year,Fiber optic,No,Bank transfer,0
65,37.29,2542.74,One year,Fiber optic,No,Mailed check,0
24,112.08,2975.43,One year,DSL,No,Mailed check,0
21,88.95,2006.3,Month-to-month,Fiber optic,Yes,Bank transfer,0
3,80.3,333.96,Two year,Fiber optic,No,Electronic check,1
25,38.38,972.52,Month-to-month,Fiber optic,Yes,Mailed check,0
57,23.66,1366.65,Month-to-month,DSL,Yes,Electronic check,0
28,75.98,2069.91,Two year,Fiber optic,Yes,Bank transfer,0
36,84.45,3237.29,One year,DSL,No,Mailed check,0
69,39.5,2610.96,Month-to-month,No,No,Electronic check,1
17,74.76,1211.45,Month-to-month,DSL,Yes,Electronic check,1
41,105.36,4809.01,Month-to-month,No,Yes,Mailed check,0
40,103.18,4066.25,Month-to-month,Fiber optic,No,Bank transfer,0
37,112.59,4018.83,Month-to-month,Fiber optic,No,Credit card,1
33,55.32,1793.66,One year,DSL,No,Electronic check,0
16,50.44,828.4,Month-to-month,DSL,Yes,Bank transfer,0
36,94.44,3476.49,One year,DSL,No,Mailed check,0
24,61.97,1415.81,Two year,DSL,Yes,Electronic check,0
26,26.93,662.06,Month-to-month,Fiber optic,No,Electronic check,1
56,46.85,2559.85,Month-to-month,DSL,No,Electronic check,1
30,60.7,1804.84,Month-to-month,Fiber optic,No,Bank transfer,1
5,47.84,265.09,Month-to-month,DSL,Yes,Electronic check,1
39,51.88,2035.68,One year,No,Yes,Electronic check,0
11,47.97,550.78,Month-to-month,Fiber optic,Yes,Mailed check,1
52,22.23,1066.51,One year,DSL,Yes,Electronic check,0
70,82.98,6346.08,Month-to-month,Fiber optic,Yes,Bank transfer,0
9,78.92,850.13,Month-to-month,DSL,No,Mailed check,1
44,84.65,3587.69,Month-to-month,DSL,Yes,Credit card,0
16,37.62,596.42,Month-to-month,Fiber optic,No,Mailed check,0
25,48.16,1264.0,Month-to-month,Fiber optic,Yes,Electronic check,1
61,81.2,5166.05,Month-to-month,No,Yes,Credit card,0
45,79.16,3974.58,Two year,Fiber optic,No,Mailed check,0
63,69.65,4348.25,One year,No,No,Electronic check,0
1,53.74,110.02,Month-to-month,No,No,Mailed check,1
53,111.12,6454.33,Month-to-month,No,Yes,Bank transfer,0
64,52.66,3388.64,Month-to-month,Fiber optic,No,Electronic check,1
50,64.47,3039.63,Month-to-month,DSL,No,Bank transfer,0
52,87.17,4506.77,Month-to-month,DSL,Yes,Electronic check,0
35,73.39,2450.0,Month-to-month,Fiber optic,No,Bank transfer,1
25,53.38,1253.71,Month-to-month,Fiber optic,No,Credit card,1
28,62.44,1901.86,Month-to-month,DSL,Yes,Bank transfer,0
20,99.04,1971.03,Month-to-month,Fiber optic,No,Mailed check,1
10,46.37,459.27,Month-to-month,DSL,No,Electronic check,1
39,32.51,1397.26,One year,Fiber optic,Yes,Mailed check,0
10,49.94,543.16,Month-to-month,DSL,No,Bank transfer,1
35,104.65,3570.64,Month-to-month,Fiber optic,Yes,Electronic check,1
58,27.08,1521.92,One year,Fiber optic,No,Bank transfer,0
38,119.15,4405.71,Two year,DSL,No,Credit card,0
53,73.18,3710.31,Two year,Fiber optic,Yes,Credit card,0
54,118.45,6959.35,One year,Fiber optic,Yes,Credit card,0
23,113.78,2550.67,Month-to-month,DSL,Yes,Bank transfer,0
21,64.19,1429.65,One year,DSL,No,Bank transfer,0
68,38.25,2416.14,One year,DSL,No,Credit card,0
55,34.82,2125.23,Month-to-month,Fiber optic,Yes,Bank transfer,0
32,42.48,1430.81,Month-to-month,Fiber optic,Yes,Mailed check,0
35,90.43,3517.97,Two year,DSL,Yes,Bank transfer,0
19,45.84,898.07,Month-to-month,Fiber optic,Yes,Mailed check,0
61,52.83,3478.98,Month-to-month,DSL,Yes,Credit card,0
25,63.78,1775.57,Month-to-month,No,No,Bank transfer,0
65,111.15,7633.66,Month-to-month,DSL,No,Credit card,0
39,37.32,1371.27,Month-to-month,No,No,Electronic check,1
16,18.51,284.21,One year,Fiber optic,No,Bank transfer,0
0,24.13,22.53,One year,Fiber optic,No,Bank transfer,0
60,110.29,6213.82,Month-to-month,Fiber optic,No,Credit card,1
42,84.05,3776.89,Two year,Fiber optic,No,Credit card,0
41,45.85,1947.66,Month-to-month,Fiber optic,Yes,Credit card,0
24,36.07,906.43,Month-to-month,Fiber optic,Yes,Electronic check,1
38,48.02,1780.21,One year,Fiber optic,Yes,Electronic check,0
34,29.71,968.02,One year,Fiber optic,No,Credit card,0
2,114.04,322.04,One year,Fiber optic,No,Bank transfer,0
43,97.99,4225.57,Two year,No,Yes,Bank transfer,0
50,65.16,3482.77,One year,Fiber optic,No,Credit card,0
11,106.23,1212.17,Two year,DSL,No,Mailed check,0
18,43.44,858.15,Month-to-month,Fiber optic,Yes,Electronic check,1
43,91.15,4003.79,One year,Fiber optic,Yes,Electronic check,0
58,105.33,6693.53,Two year,No,Yes,Mailed check,0
48,54.39,2522.75,One year,No,Yes,Credit card,0
60,95.26,5753.75,Month-to-month,Fiber optic,No,Bank transfer,1
16,48.1,751.74,Month-to-month,DSL,No,Bank transfer,0
56,48.48,2672.25,One year,Fiber optic,No,Electronic check,0
54,28.92,1592.79,Month-to-month,Fiber optic,No,Mailed check,0
46,62.89,3093.42,Two year,No,No,Bank transfer,0
11,92.43,1042.18,Month-to-month,DSL,No,Electronic check,1
61,113.9,6663.64,Month-to-month,DSL,No,Bank transfer,0
7,79.59,653.48,Two year,DSL,No,Bank transfer,0
20,106.04,2174.49,Month-to-month,Fiber optic,No,Bank transfer,1
69,101.89,7106.76,Month-to-month,No,Yes,Electronic check,0
71,35.68,2741.66,One year,DSL,No,Mailed check,0
24,67.55,1688.44,One year,Fiber optic,Yes,Credit card,0
11,29.93,370.11,Month-to-month,Fiber optic,No,Mailed check,1
14,87.58,1354.89,Two year,Fiber optic,No,Bank transfer,0
58,114.89,7190.12,Month-to-month,Fiber optic,Yes,Mailed check,0
25,31.98,854.45,One year,No,No,Bank transfer,0
25,92.86,2204.22,Month-to-month,DSL,Yes,Electronic check,0
46,82.49,3754.65,One year,Fiber optic,Yes,Electronic check,0
31,77.53,2723.75,Month-to-month,DSL,Yes,Electronic check,0
9,57.79,542.82,Month-to-month,Fiber optic,No,Bank transfer,1
15,54.22,882.57,Month-to-month,No,No,Mailed check,1
70,22.62,1716.17,Two year,DSL,No,Credit card,0
16,40.23,695.75,Month-to-month,DSL,No,Credit card,0
22,19.55,438.16,One year,Fiber optic,Yes,Electronic check,0
25,77.3,1841.07,Two year,Fiber optic,Yes,Credit card,0
6,28.8,196.02,Month-to-month,Fiber optic,Yes,Bank transfer,1
13,107.05,1403.4,Month-to-month,DSL,No,Mailed check,0
6,71.36,545.56,Month-to-month,DSL,No,Credit card,1
8,89.37,838.92,One year,Fiber optic,Yes,Credit card,1
47,59.91,3019.11,Month-to-month,DSL,Yes,Mailed check,0
71,75.18,5343.64,Month-to-month,No,Yes,Credit card,0
58,114.15,6209.48,One year,DSL,No,Mailed check,0
38,26.44,983.05,One year,Fiber optic,Yes,Bank transfer,0
17,43.9,752.22,Month-to-month,DSL,Yes,Bank transfer,0
58,97.56,5740.82,Month-to-month,DSL,Yes,Bank transfer,0
16,28.07,473.47,One year,Fiber optic,No,Electronic check,0
13,25.72,355.28,Two year,Fiber optic,No,Bank transfer,0
30,54.88,1699.91,Two year,DSL,No,Credit card,0
23,27.4,721.65,One year,DSL,No,Electronic check,0
59,77.68,4472.83,Month-to-month,DSL,No,Electronic check,1
44,41.08,1891.22,Month-to-month,Fiber optic,No,Electronic check,1
2,109.36,310.99,Month-to-month,Fiber optic,Yes,Bank transfer,1
36,97.92,3598.84,Month-to-month,DSL,No,Electronic check,1
42,89.37,3612.37,One year,Fiber optic,No,Bank transfer,0
39,80.93,3274.88,Month-to-month,Fiber optic,Yes,Bank transfer,0
54,106.07,5559.67,Month-to-month,No,No,Electronic check,1
38,40.75,1442.02,Two year,No,Yes,Electronic check,0
14,107.06,1707.16,Month-to-month,DSL,Yes,Credit card,0
3,98.53,364.82,Month-to-month,DSL,Yes,Electronic check,1
24,94.31,2295.52,Month-to-month,DSL,Yes,Bank transfer,0
12,75.25,973.78,One year,Fiber optic,No,Credit card,0
32,43.12,1403.74,One year,No,No,Credit card,0
15,61.2,1023.39,Month-to-month,Fiber optic,No,Bank transfer,0
41,98.94,4235.91,Month-to-month,DSL,No,Electronic check,0
65,21.24,1344.47,One year,Fiber optic,Yes,Electronic check,0
54,97.77,4895.22,Two year,DSL,No,Mailed check,0
41,42.49,1880.09,Two year,DSL,No,Electronic check,0
33,32.72,1079.67,Two year,Fiber optic,Yes,Mailed check,0
29,29.8,963.68,One year,DSL,No,Credit card,0
12,20.78,264.47,Month-to-month,DSL,No,Credit card,0
12,71.41,968.74,Month-to-month,Fiber optic,No,Credit card,1
17,40.26,788.39,Month-to-month,DSL,Yes,Mailed check,0
31,118.92,3920.48,One year,DSL,Yes,Bank transfer,0
38,76.59,2935.33,Two year,DSL,No,Bank transfer,0
45,32.06,1494.64,Month-to-month,No,No,Credit card,0
28,88.25,2581.49,Month-to-month,Fiber optic,Yes,Mailed check,0
61,109.57,6908.58,Month-to-month,DSL,No,Mailed check,0
61,94.01,5416.91,Two year,Fiber optic,Yes,Credit card,0
56,25.8,1528.99,One year,DSL,Yes,Electronic check,0
15,109.38,1625.84,Two year,Fiber optic,No,Credit card,0
55,98.98,5004.8,Two year,Fiber optic,No,Mailed check,0
9,34.15,350.02,Two year,No,Yes,Electronic check,0
29,23.28,644.89,One year,Fiber optic,Yes,Bank transfer,0
24,74.85,1972.45,One year,No,No,Electronic check,0
4,33.92,182.01,Month-to-month,No,No,Bank transfer,1
64,103.13,7299.7,Month-to-month,No,Yes,Mailed check,0
48,54.55,2760.88,Month-to-month,Fiber optic,Yes,Credit card,0
2,111.12,332.16,Month-to-month,Fiber optic,No,Credit card,1
44,75.7,3305.86,Two year,Fiber optic,No,Credit card,0
13,36.63,511.89,Month-to-month,DSL,Yes,Credit card,0
29,32.24,907.3,Two year,DSL,No,Credit card,0
67,76.8,5064.08,Month-to-month,Fiber optic,Yes,Mailed check,1
17,95.71,1797.87,Month-to-month,Fiber optic,No,Mailed check,0
61,97.71,5715.65,Two year,No,No,Credit card,0
36,46.13,1626.27,Month-to-month,DSL,No,Electronic check,1
24,38.83,1019.16,Month-to-month,DSL,Yes,Credit card,0
47,19.71,885.12,Month-to-month,Fiber optic,No,Bank transfer,1
64,87.28,5384.87,One year,Fiber optic,No,Bank transfer,0
52,25.81,1235.94,Month-to-month,DSL,No,Bank transfer,1
14,60.92,954.02,One year,No,No,Bank transfer,0
48,79.37,3980.84,One year,Fiber optic,Yes,Credit card,0
67,113.59,8024.41,One year,Fiber optic,No,Bank transfer,0
11,49.8,563.46,One year,No,No,Electronic check,0
58,43.48,2661.46,Month-to-month,Fiber optic,No,Credit card,1
36,84.72,3195.06,Month-to-month,Fiber optic,No,Bank transfer,1
60,81.16,4818.2,Two year,No,No,Credit card,0
42,51.88,2203.1,Month-to-month,DSL,Yes,Credit card,0
69,112.67,7994.04,Month-to-month,Fiber optic,No,Credit card,0
38,104.18,4057.57,Month-to-month,DSL,No,Mailed check,0
55,40.85,2352.49,Two year,DSL,No,Bank transfer,0
62,42.39,2500.18,Month-to-month,No,No,Mailed check,1
45,70.25,3257.81,Month-to-month,Fiber optic,No,Electronic check,1
10,96.9,1055.3,One year,Fiber optic,Yes,Electronic check,1
61,22.49,1383.51,One year,No,Yes,Mailed check,0
24,88.72,2204.42,Month-to-month,No,Yes,Bank transfer,0
70,84.12,6428.19,Month-to-month,No,No,Credit card,0
51,41.61,2301.6,One year,Fiber optic,Yes,Electronic check,0
3,87.5,359.07,Two year,DSL,Yes,Electronic check,1
58,113.9,7011.06,One year,DSL,No,Electronic check,0
71,22.77,1489.53,Month-to-month,Fiber optic,No,Bank transfer,1
19,50.6,1061.38,Month-to-month,Fiber optic,No,Mailed check,1
62,62.69,3938.54,Two year,Fiber optic,No,Mailed check,0
53,109.72,5708.92,Two year,Fiber optic,No,Bank transfer,0
56,116.15,6143.58,Month-to-month,No,Yes,Electronic check,0
40,63.3,2374.81,Month-to-month,Fiber optic,No,Bank transfer,1
2,94.5,257.7,One year,Fiber optic,Yes,Bank transfer,1
5,72.23,404.07,Month-to-month,DSL,No,Mailed check,1
4,72.85,330.02,Month-to-month,DSL,No,Bank transfer,1
4,46.37,242.64,Month-to-month,DSL,No,Bank transfer,1
53,40.13,2058.07,Month-to-month,Fiber optic,No,Electronic check,1
46,47.38,2168.4,Month-to-month,DSL,Yes,Credit card,0
48,74.75,3899.16,One year,Fiber optic,No,Electronic check,0
8,20.97,174.18,Month-to-month,Fiber optic,Yes,Mailed check,1
19,110.54,2359.19,Month-to-month,DSL,No,Credit card,0
60,33.94,2128.12,Month-to-month,DSL,No,Electronic check,0
34,40.45,1371.02,Month-to-month,Fiber optic,No,Bank transfer,0
49,70.86,3272.18,Month-to-month,Fiber optic,No,Bank transfer,1
61,90.43,5148.59,Month-to-month,Fiber optic,No,Credit card,1
16,27.76,456.4,One year,Fiber optic,Yes,Credit card,0
2,50.4,140.32,Month-to-month,Fiber optic,Yes,Bank transfer,1
31,116.8,3563.96,Month-to-month,No,No,Mailed check,0
12,44.76,529.85,Month-to-month,Fiber optic,No,Electronic check,1
67,49.93,3459.76,Month-to-month,No,No,Bank transfer,0
13,103.32,1343.86,Two year,DSL,No,Electronic check,0
10,23.12,267.38,Month-to-month,Fiber optic,Yes,Electronic check,1
55,65.39,3455.44,Two year,Fiber optic,Yes,Electronic check,0
66,56.72,4026.72,Month-to-month,DSL,Yes,Electronic check,0
28,50.29,1367.95,Two year,DSL,No,Mailed check,0
8,47.14,443.04,Month-to-month,Fiber optic,Yes,Mailed check,1
66,27.32,1769.33,One year,DSL,Yes,Mailed check,0
24,50.11,1273.58,Month-to-month,DSL,No,Bank transfer,0
41,22.39,853.61,Month-to-month,No,No,Bank transfer,1
8,97.66,878.1,Two year,No,No,Bank transfer,0
39,58.62,2180.05,One year,Fiber optic,No,Mailed check,0
24,63.28,1577.67,Month-to-month,Fiber optic,No,Electronic check,1
4,109.15,506.6,Month-to-month,No,No,Mailed check,1
10,85.12,924.54,Month-to-month,Fiber optic,No,Bank transfer,1
58,18.82,1023.91,Two year,DSL,Yes,Credit card,0
37,114.2,4096.54,Month-to-month,No,Yes,Bank transfer,0
71,42.19,3095.44,Month-to-month,Fiber optic,Yes,Electronic check,1
4,28.98,158.71,One year,Fiber optic,Yes,Mailed check,0
47,96.35,4577.8,Two year,Fiber optic,No,Credit card,0
17,69.05,1289.43,One year,Fiber optic,Yes,Credit card,0
69,62.24,4391.15,One year,No,No,Electronic check,0
36,43.45,1607.12,One year,DSL,Yes,Mailed check,0
59,73.84,4044.69,Month-to-month,No,No,Credit card,1
47,45.99,2050.48,Month-to-month,No,No,Bank transfer,0
27,109.96,3314.76,Two year,Fiber optic,No,Electronic check,1
68,39.95,2707.02,Month-to-month,Fiber optic,No,Credit card,1
39,108.2,4426.97,Two year,Fiber optic,Yes,Electronic check,0
44,75.06,3396.77,Month-to-month,DSL,No,Mailed check,0
61,102.51,6201.66,Month-to-month,DSL,Yes,Mailed check,0
57,90.71,5143.14,Two year,Fiber optic,No,Mailed check,0
66,89.06,6033.21,One year,Fiber optic,No,Bank transfer,0
55,51.08,2655.18,Month-to-month,DSL,Yes,Credit card,0
39,41.86,1636.65,One year,DSL,No,Mailed check,0
39,39.51,1563.64,One year,No,Yes,Bank transfer,0
32,105.43,3816.76,Month-to-month,Fiber optic,No,Mailed check,0
5,101.68,591.96,Month-to-month,No,No,Mailed check,1
18,62.94,1230.44,Two year,DSL,No,Credit card,0
39,31.51,1169.0,Two year,Fiber optic,No,Bank transfer,1
58,56.99,3070.2,Month-to-month,DSL,No,Mailed check,0
58,81.17,5144.9,Two year,Fiber optic,No,Bank transfer,0
47,64.35,3231.34,Two year,Fiber optic,Yes,Bank transfer,0
40,97.58,3854.75,Month-to-month,DSL,No,Mailed check,0
12,119.76,1558.31,One year,Fiber optic,No,Mailed check,0
44,37.5,1564.56,Month-to-month,Fiber optic,Yes,Electronic check,1
52,64.88,3581.11,Month-to-month,Fiber optic,Yes,Credit card,0
41,61.96,2378.69,One year,Fiber optic,Yes,Mailed check,0
